filename,DOI,title,publication_year,source_url,sha256,target_properties,notes
10.1021_acs.jced.5b00270.xml,10.1021/acs.jced.5b00270,"Viscosities of liquid cyclohexane and decane at temperatures between (303 and 598) K and pressures up to 4 MPa measured in a dual-capillary viscometer",2015,https://trc.nist.gov/ThermoML/10.1021/acs.jced.5b00270.xml,06328b913f9d347ef7b032bdf251e13948710e32d98e11c81112ca1b3626ced3,dynamic_viscosity,Added by IFD-002
10.1016_j.tca.2005.08.012.xml,10.1016/j.tca.2005.08.012,"Studies of partial molar volumes of alkylamine in non-electrolyte solvents I. Alkylamines in hydrocarbons at 303.15 and 313.15K",2006,https://trc.nist.gov/ThermoML/10.1016/j.tca.2005.08.012.xml,3bdea4b80c57949f6840d850835e3d01115fb7684cab2e8652036c50a6bf8e08,density,"Pure-liquid density records are accepted; mixture sections are audited and rejected"
10.1016_j.jct.2012.07.018.xml,10.1016/j.jct.2012.07.018,"Heat capacities and densities of the binary mixtures containing ethanol, cyclohexane or 1-hexene at high pressures",2013,https://trc.nist.gov/ThermoML/10.1016/j.jct.2012.07.018.xml,ea2580c187124db08b271016d21f8b6180562d7be82f5ad08a4f6c59eb9565a4,density|isobaric_heat_capacity,"Pure-component reference sections are accepted; mixture sections are audited and rejected"
10.1016_j.fluid.2018.07.011.xml,10.1016/j.fluid.2018.07.011,Thermal conductivity of gaseous and liquid n-hexane,2018,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2018.07.011.xml,d8c75f84a114b5ac236e15d02c0202031030f80e55d58016d09bdc0c9d19c9cc,thermal_conductivity,"Liquid records are accepted; gas records are audited and rejected"
10.1007_s10765-019-2537-x.xml,10.1007/s10765-019-2537-x,Thermal Conductivity of n-Pentadecane (C15H32),2019,https://trc.nist.gov/ThermoML/10.1007/s10765-019-2537-x.xml,6478ee1e0915672680788bb114eadb7e52399b174e548be93fcaf89ab3bd7614,thermal_conductivity,"Pure-liquid pentadecane measurements plus toluene reference measurements"
10.1016_j.fluid.2014.10.002.xml,10.1016/j.fluid.2014.10.002,"Tris(2-ethylhexyl) trimellitate (TOTM) a potential reference fluid for high viscosity. Part I: Viscosity measurements at temperatures from (303 to 373) K and pressures up to 65 MPa, using a novel vibrating-wire instrument",2014,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.10.002.xml,63a78c0cd1a247bc9cf0cc06955a8a22c1f87f5b70bc29a88d160380c77caa74,dynamic_viscosity,Pure-liquid high-viscosity reference measurements
10.1016_j.tca.2010.07.032.xml,10.1016/j.tca.2010.07.032,Estimation of Normal Boiling points of Trialkyl Phosphates using Retention indices by Gas Chromatography,2010,https://trc.nist.gov/ThermoML/10.1016/j.tca.2010.07.032.xml,ef29148abed5ab4b7cf53a1646a8504a6532881c8121b5354ed918f28e296c78,boiling_temperature,Normal boiling temperatures for ten trialkyl phosphates
10.1016_j.tca.2014.03.043.xml,10.1016/j.tca.2014.03.043,Heat Capacities of 2-Propenol and Selected Cyclohexylalcohols,2014,https://trc.nist.gov/ThermoML/10.1016/j.tca.2014.03.043.xml,d9e0ec239bce63ce373074f74a4e2e24943c38990bfed77a818f99d79053ea4c,isobaric_heat_capacity,Pure-liquid molar heat-capacity measurements
10.1021_acs.jced.8b01159.xml,10.1021/acs.jced.8b01159,Vapor Pressure of 4-Ethylmorpholine Revisited: Thermodynamically Consistent Vapor Pressure Equation,2019,https://trc.nist.gov/ThermoML/10.1021/acs.jced.8b01159.xml,6db944b39ccc225f2cc1d97fca8c500372b62680bbb009a7fa477b27b554c34c,vapor_pressure|isobaric_heat_capacity,Pure-liquid vapor-pressure and heat-capacity measurements
10.1021_je0497496.xml,10.1021/je0497496,Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus,2005,https://trc.nist.gov/ThermoML/10.1021/je0497496.xml,62f8e4578194bf475b79a46ce6d17b4a579557a50555525b6abee810bff416b0,density|vapor_pressure,"Liquid density and vapor-pressure records are accepted; gas records are audited and rejected"
10.1021_je060283w.xml,10.1021/je060283w,"Relative Permittivity Measurements of Gaseous, Liquid, and Supercritical Dimethyl Ether",2007,https://trc.nist.gov/ThermoML/10.1021/je060283w.xml,c67752268fca691b9e0f72ec3839f6c9ccf921846bf6ddf2dc1b1e37c91dcf3d,relative_permittivity,"Liquid records are accepted; gas and supercritical records are audited and rejected"
10.1021_je020125e.xml,10.1021/je020125e,Thermal Conductivity and Thermal Diffusivity of Sixteen Isomers of Alkanes: CnH2n+2 (n = 6 to 8),2003,https://trc.nist.gov/ThermoML/10.1021/je020125e.xml,54bd893201b0cfa28476dd089b1ed51a3c3d2bba1394e9095fcf0a09eafe2fd8,thermal_conductivity,Sixteen pure-liquid alkane isomers; unsupported thermal diffusivity remains audited
10.1007_s10765-019-2573-6.xml,10.1007/s10765-019-2573-6,Viscosity Measurements of Dialkyl Adipates in the Temperature Range of (283 to 363) K and up to 40 MPa,2019,https://trc.nist.gov/ThermoML/10.1007/s10765-019-2573-6.xml,997ff0ea6df2442a1b3ea2751eb88fb8dc821463df5421f0b24757dc018a6394,dynamic_viscosity,Four pure-liquid dialkyl adipates
10.1007_s10765-008-0549-z.xml,10.1007/s10765-008-0549-z,Thermal Conductivity of Liquid Dimethoxyethane from 243 to 353K at Pressures up to 30 MPa,2009,https://trc.nist.gov/ThermoML/10.1007/s10765-008-0549-z.xml,9ed6e7d127f1e6f841303a5132aa333bc6121544e15ce62722ed05dc004bebfa,thermal_conductivity,Dimethoxyethane plus toluene reference measurements
10.1016_j.tca.2012.10.004.xml,10.1016/j.tca.2012.10.004,"Dielectric data, densities, refractive indices, and their deviations of the binary mixtures of N-methyldiethanolamine with Sulfolane at T = (293.15 to 328.15) K and atmospheric pressure",2013,https://trc.nist.gov/ThermoML/10.1016/j.tca.2012.10.004.xml,0e2bacf087baf8c7248033da38f2a1ef49132f47d82b30a7b20fb534cf2bb54d,density|relative_permittivity,Pure-component sections accepted and mixture sections audited
